width,params,repeat,epoch,train_loss,train_acc,test_loss,test_acc
1,774,0,1,2.304586,0.100300,2.303100,0.100000
1,774,0,2,2.304071,0.100700,2.303146,0.100000
1,774,0,3,2.305442,0.096400,2.303787,0.100000
1,774,0,4,2.304035,0.105300,2.303856,0.100000
1,774,0,5,2.304694,0.096400,2.304158,0.100000
1,774,0,6,2.303905,0.103700,2.304509,0.100000
1,774,0,7,2.304752,0.100400,2.304031,0.100000
1,774,0,8,2.303952,0.104200,2.304566,0.100000
1,774,0,9,2.304842,0.099700,2.303533,0.100000
1,774,0,10,2.304472,0.102100,2.303239,0.100000
1,774,0,11,2.304659,0.096900,2.304399,0.100000
1,774,0,12,2.304502,0.098600,2.304670,0.100000
1,774,0,13,2.304654,0.098500,2.304364,0.100000
1,774,0,14,2.304485,0.101900,2.303674,0.100000
1,774,0,15,2.304044,0.097000,2.304307,0.100000
1,774,0,16,2.304363,0.102800,2.304012,0.100000
1,774,0,17,2.304049,0.099400,2.304592,0.100000
1,774,0,18,2.304508,0.102100,2.304243,0.100000
1,774,0,19,2.303910,0.103000,2.304814,0.100000
1,774,0,20,2.304863,0.102000,2.304006,0.100000
1,774,0,21,2.304507,0.097100,2.304415,0.100000
1,774,0,22,2.304368,0.102700,2.305896,0.100000
1,774,0,23,2.304319,0.098200,2.304145,0.100000
1,774,0,24,2.304824,0.098700,2.305757,0.100000
1,774,0,25,2.303975,0.103000,2.305131,0.100000
1,774,0,26,2.304898,0.103100,2.304901,0.100000
1,774,0,27,2.304056,0.102000,2.304517,0.100000
1,774,0,28,2.304725,0.094200,2.304121,0.100000
1,774,0,29,2.304227,0.101000,2.303539,0.100000
1,774,0,30,2.304208,0.098700,2.304415,0.100000
1,774,0,31,2.304412,0.099000,2.306784,0.100000
1,774,0,32,2.304382,0.102200,2.304946,0.100000
1,774,0,33,2.304367,0.101900,2.304172,0.100000
1,774,0,34,2.304568,0.102100,2.305095,0.100000
1,774,0,35,2.305109,0.099700,2.304697,0.100000
1,774,0,36,2.304297,0.106800,2.303322,0.100000
1,774,0,37,2.303535,0.105400,2.304430,0.100000
1,774,0,38,2.304619,0.099900,2.303521,0.100000
1,774,0,39,2.304139,0.102600,2.303231,0.100000
1,774,0,40,2.304282,0.099300,2.304777,0.100000
1,774,0,41,2.303938,0.104600,2.303488,0.100000
1,774,0,42,2.304615,0.100800,2.304824,0.100000
1,774,0,43,2.304521,0.091900,2.303153,0.100000
1,774,0,44,2.304345,0.104200,2.303518,0.100000
1,774,0,45,2.303966,0.098800,2.306512,0.100000
1,774,0,46,2.304857,0.101400,2.304473,0.100000
1,774,0,47,2.304379,0.104900,2.303369,0.100000
1,774,0,48,2.304320,0.100200,2.304722,0.100000
1,774,0,49,2.304027,0.102300,2.303672,0.100000
1,774,0,50,2.304146,0.103600,2.305286,0.100000
1,774,0,51,2.304761,0.101800,2.303493,0.100000
1,774,0,52,2.303848,0.100400,2.304423,0.100000
1,774,0,53,2.304855,0.102100,2.304448,0.100000
1,774,0,54,2.303955,0.099600,2.304085,0.100000
1,774,0,55,2.304144,0.101300,2.303648,0.100000
1,774,0,56,2.303981,0.099500,2.303795,0.100000
1,774,0,57,2.303760,0.099100,2.303602,0.100000
1,774,0,58,2.303918,0.097800,2.303328,0.100000
1,774,0,59,2.303826,0.101000,2.303237,0.100000
1,774,0,60,2.304036,0.101500,2.303798,0.100000
1,774,0,61,2.303725,0.099400,2.304837,0.100000
1,774,0,62,2.305004,0.103700,2.304304,0.100000
1,774,0,63,2.304070,0.095700,2.304777,0.100000
1,774,0,64,2.304602,0.097900,2.302737,0.100000
1,774,0,65,2.303804,0.101700,2.303150,0.100000
1,774,0,66,2.303683,0.099800,2.303870,0.100000
1,774,0,67,2.303952,0.106200,2.304547,0.100000
1,774,0,68,2.304533,0.102000,2.304160,0.100000
